Chay lan thu 1, xet trong so thu 65 (trọng số thứ 5 của ma trận B22), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.077]
Chay lan thu 1, xet trong so thu 66 (trọng số thứ 1 của ma trận B23), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.077]
Chay lan thu 1, xet trong so thu 67 (trọng số thứ 2 của ma trận B23), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.077]
Chay lan thu 1, xet trong so thu 68 (trọng số thứ 3 của ma trận B23), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.077]
Chay lan thu 1, xet trong so thu 69 (trọng số thứ 4 của ma trận B23), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.077]
Chay lan thu 1, xet trong so thu 70 (trọng số thứ 5 của ma trận B23), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.077]
Chay lan thu 1, xet trong so thu 71 (trọng số thứ 1 của ma trận B24), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.077]
Chay lan thu 1, xet trong so thu 72 (trọng số thứ 2 của ma trận B24), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.077]
Chay lan thu 1, xet trong so thu 73 (trọng số thứ 3 của ma trận B24), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.071]
Chay lan thu 1, xet trong so thu 74 (trọng số thứ 4 của ma trận B24), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.071]
Chay lan thu 1, xet trong so thu 75 (trọng số thứ 5 của ma trận B24), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.071]
Chay lan thu 1, xet trong so thu 76 (trọng số thứ 1 của ma trận B25), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.071]
Chay lan thu 1, xet trong so thu 77 (trọng số thứ 2 của ma trận B25), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.071]
Chay lan thu 1, xet trong so thu 78 (trọng số thứ 3 của ma trận B25), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 79 (trọng số thứ 4 của ma trận B25), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 80 (trọng số thứ 5 của ma trận B25), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 81 (trọng số thứ 1 của ma trận B26), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 82 (trọng số thứ 2 của ma trận B26), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 83 (trọng số thứ 3 của ma trận B26), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 84 (trọng số thứ 4 của ma trận B26), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 85 (trọng số thứ 5 của ma trận B26), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 86 (trọng số thứ 1 của ma trận B27), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 87 (trọng số thứ 2 của ma trận B27), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 88 (trọng số thứ 3 của ma trận B27), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 89 (trọng số thứ 4 của ma trận B27), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 90 (trọng số thứ 5 của ma trận B27), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 91 (trọng số thứ 1 của ma trận B28), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 92 (trọng số thứ 2 của ma trận B28), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 93 (trọng số thứ 3 của ma trận B28), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 94 (trọng số thứ 4 của ma trận B28), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 95 (trọng số thứ 5 của ma trận B28), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 96 (trọng số thứ 1 của ma trận B29), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 97 (trọng số thứ 2 của ma trận B29), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 98 (trọng số thứ 3 của ma trận B29), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 99 (trọng số thứ 4 của ma trận B29), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 100 (trọng số thứ 5 của ma trận B29), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
Chay lan thu 1, xet trong so thu 101 (trọng số thứ 1 của ma trận B1), sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066]
sai so: [0.203, 0.203, 0.547, 0.17, 0.189, 0.066], bo trong so: [-5.22 -0.   -0.    0.    0.    0.    0.    0.    0.    0.    0.    1.
 -0.22  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    0.    0.    0.4   0.   -0.25  0.22  0.    0.    0.   -0.22  0.
  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.2   0.    0.
  0.    0.   -0.22  1.22  1.62 -0.22 -0.22 -0.22 -0.22 -0.22 -0.22 -0.22
